Make,Body_Type,MAE,RMSE,N
Tesla China,Sedan,4021.5119256795724,6632.303362120211,9
FAW Hongqi,Sedan,4101.42173954166,4908.000871212016,16
FAW-Volkswagen,Sedan,4128.028460677346,5003.187529246749,16
Dongfeng Passenger Vehicle,Sedan,4197.383994031254,4304.0210836274055,16
GAC Toyota,SUV,4612.2155218308235,5607.999147269223,16
Beijing Benz,Sedan,4673.231155057447,5306.044482655605,16
Changan Auto,SUV,4793.847875275693,6404.602380890388,16
SAIC-GM Buick,SUV,4885.1339170853635,5266.670152397559,16
FAW Toyota,Sedan,5108.074724162527,6223.580559000833,16
Jinkang Seres,SUV,5170.623857271143,5603.636221091584,8
Dongfeng Honda,Hatchback,5341.735204175708,6953.922802038983,15
GAC Aion,Sedan,5483.475856167143,6116.71255414341,14
Dongfeng Honda,SUV,5501.36301100438,7211.024688204412,15
Changan Auto,Hatchback,5516.746570602882,6247.946997952554,16
BYD,Hatchback,6017.244546822854,7563.673279211371,13
SAIC-GM-Wuling,MPV,6236.854545862414,7622.621104827926,16
Chery Auto,SUV,8286.31021591571,9541.95736832767,16
Tesla China,SUV,8292.400797132683,11019.444946591204,8
BYD,Sedan,8818.768533277458,10248.200790910845,16
GAC Aion,SUV,8888.44154210703,9662.91243199666,15
Dongfeng Nissan,Sedan,9276.675057067418,13540.466801834278,16
SAIC MG,SUV,9398.721557145882,10815.85185090505,14
GAC Honda,Sedan,10969.192815844588,12509.433259076082,16
BYD,SUV,13690.716653792451,14975.212632985273,16
SAIC-GM-Wuling,Hatchback,37001.17875263098,37904.782146431004,16
